longitude,latitude,altitude,time
100.49426700000001,13.721201,8.0,2018-07-24 07:40:24
100.49432,13.721193,8.1,2018-07-24 07:40:26
100.49435799999999,13.721198000000001,8.1,2018-07-24 07:40:27
100.494394,13.721210999999998,8.1,2018-07-24 07:40:28
100.494436,13.721217999999999,8.2,2018-07-24 07:40:29
100.494478,13.721226999999999,8.3,2018-07-24 07:40:30
100.494527,13.721244,8.4,2018-07-24 07:40:32
100.494575,13.721247,8.4,2018-07-24 07:40:34
100.494615,13.72124,8.5,2018-07-24 07:40:36
100.494651,13.721232,8.6,2018-07-24 07:40:37
100.494683,13.721252999999999,8.6,2018-07-24 07:40:38
100.49473499999999,13.721260999999998,8.7,2018-07-24 07:40:40
100.494783,13.721260000000001,8.8,2018-07-24 07:40:42
100.494813,13.721274,9.2,2018-07-24 07:40:43
100.49484100000001,13.721282,10.0,2018-07-24 07:40:44
100.49486999999999,13.721295000000001,10.0,2018-07-24 07:40:45
100.494895,13.721309,9.9,2018-07-24 07:40:46
100.49492,13.721329,9.8,2018-07-24 07:40:47
100.49494399999999,13.721345999999999,9.6,2018-07-24 07:40:48
100.494988,13.721373999999999,9.3,2018-07-24 07:40:50
100.495032,13.72141,9.0,2018-07-24 07:40:52
100.495053,13.721429999999998,8.9,2018-07-24 07:40:53
100.49509,13.721441,8.7,2018-07-24 07:40:55
100.495131,13.721452,8.5,2018-07-24 07:40:57
100.49516700000001,13.721480999999999,8.2,2018-07-24 07:40:59
100.495188,13.721504999999999,8.0,2018-07-24 07:41:01
100.495223,13.721534,7.8,2018-07-24 07:41:03
100.495255,13.721495999999998,7.5,2018-07-24 07:41:06
100.49531800000001,13.721515,7.1,2018-07-24 07:41:08
100.495369,13.721518,6.8,2018-07-24 07:41:09
100.49540999999999,13.721483,6.4,2018-07-24 07:41:10
100.49544399999999,13.721480999999999,6.2,2018-07-24 07:41:11
100.49547700000001,13.721487,6.0,2018-07-24 07:41:12
100.495524,13.721479,6.1,2018-07-24 07:41:14
100.495542,13.721501000000002,6.1,2018-07-24 07:41:16
100.495587,13.721454000000001,6.2,2018-07-24 07:41:18
100.495643,13.721441,6.3,2018-07-24 07:41:20
100.495681,13.721421,6.4,2018-07-24 07:41:21
100.49570899999999,13.721397,6.4,2018-07-24 07:41:22
100.495737,13.721399,6.5,2018-07-24 07:41:23
100.495765,13.721394,6.5,2018-07-24 07:41:24
100.495793,13.721376999999999,6.6,2018-07-24 07:41:25
100.495857,13.721379,6.7,2018-07-24 07:41:27
100.49589,13.721375,6.7,2018-07-24 07:41:28
100.495922,13.721369000000001,6.7,2018-07-24 07:41:29
100.495953,13.72136,6.8,2018-07-24 07:41:30
100.49598,13.721364999999999,6.8,2018-07-24 07:41:31
100.49600600000001,13.721335,6.8,2018-07-24 07:41:32
100.496045,13.721317,6.9,2018-07-24 07:41:33
100.496085,13.72132,6.9,2018-07-24 07:41:34
100.49611800000001,13.721331,6.9,2018-07-24 07:41:35
100.496149,13.721338000000001,6.9,2018-07-24 07:41:36
100.49619200000001,13.721317,7.0,2018-07-24 07:41:37
100.49623199999999,13.721319,7.0,2018-07-24 07:41:38
100.49627,13.721314000000001,7.0,2018-07-24 07:41:39
100.49629,13.72134,7.1,2018-07-24 07:41:40
100.49632199999999,13.72132,7.1,2018-07-24 07:41:41
100.496369,13.721295999999999,7.1,2018-07-24 07:41:42
100.496408,13.721282,9.3,2018-07-24 07:41:43
100.496473,13.721257000000001,11.1,2018-07-24 07:41:44
100.49651300000001,13.721248999999998,11.1,2018-07-24 07:41:45
100.496567,13.721213,11.2,2018-07-24 07:41:46
