type	latitude	longitude	name	
T	32.741022000	-117.128818000		
T	32.741026000	-117.128792000		
T	32.741030000	-117.128764000		
T	32.741028000	-117.128738000		
T	32.741029000	-117.128715000		
T	32.741030000	-117.128692000		
T	32.741030000	-117.128669000		
T	32.741028000	-117.128644000		
T	32.741025000	-117.128619000		
T	32.741024000	-117.128592000		
T	32.741023000	-117.128560000		
T	32.741019000	-117.128522000		
T	32.741019000	-117.128488000		
T	32.741016000	-117.128459000		
T	32.741017000	-117.128438000		
T	32.741019000	-117.128418000		
T	32.741019000	-117.128388000		
T	32.741019000	-117.128368000		
T	32.741019000	-117.128344000		
T	32.741018000	-117.128317000		
T	32.741017000	-117.128289000		
T	32.741016000	-117.128263000		
T	32.741015000	-117.128238000		
T	32.741014000	-117.128217000		
T	32.741012000	-117.128178000		
T	32.741013000	-117.128155000		
T	32.741014000	-117.128132000		
T	32.741014000	-117.128106000		
T	32.741015000	-117.128081000		
T	32.741016000	-117.128053000		
T	32.741016000	-117.128020000		
T	32.741015000	-117.127983000		
T	32.741011000	-117.127949000		
T	32.741005000	-117.127921000		
T	32.741004000	-117.127893000		
T	32.741004000	-117.127863000		
T	32.741005000	-117.127831000		
T	32.741004000	-117.127802000		
T	32.741002000	-117.127775000		
T	32.740997000	-117.127755000		
T	32.740987000	-117.127760000		
T	32.740998000	-117.127775000		
T	32.741000000	-117.127753000		
T	32.741000000	-117.127729000		
T	32.741002000	-117.127695000		
T	32.741002000	-117.127661000		
T	32.741000000	-117.127627000		
T	32.741001000	-117.127596000		
T	32.741002000	-117.127568000		
T	32.741002000	-117.127542000		
T	32.741004000	-117.127515000		
T	32.741006000	-117.127485000		
T	32.741009000	-117.127455000		
T	32.741009000	-117.127423000		
T	32.741009000	-117.127390000		
T	32.741007000	-117.127357000		
T	32.741002000	-117.127326000		
T	32.740997000	-117.127300000		
T	32.740995000	-117.127274000		
T	32.740994000	-117.127247000		
T	32.740998000	-117.127217000		
T	32.741003000	-117.127186000		
T	32.741005000	-117.127156000		
T	32.741012000	-117.127132000		
T	32.741019000	-117.127112000		
T	32.741019000	-117.127089000		
T	32.741019000	-117.127067000		
T	32.741020000	-117.127044000		
T	32.741021000	-117.127018000		
T	32.741022000	-117.126989000		
T	32.741021000	-117.126955000		
T	32.741020000	-117.126920000		
T	32.741020000	-117.126891000		
T	32.741018000	-117.126861000		
T	32.741017000	-117.126831000		
T	32.741015000	-117.126802000		
T	32.741014000	-117.126771000		
T	32.741014000	-117.126739000		
T	32.741014000	-117.126705000		
T	32.741016000	-117.126672000		
T	32.741018000	-117.126643000		
T	32.741018000	-117.126616000		
T	32.741021000	-117.126591000		
T	32.741023000	-117.126568000		
T	32.741025000	-117.126538000		
T	32.741026000	-117.126503000		
T	32.741026000	-117.126466000		
T	32.741025000	-117.126432000		
T	32.741026000	-117.126404000		
T	32.741026000	-117.126385000		
T	32.741024000	-117.126369000		
T	32.741031000	-117.126345000		
T	32.741031000	-117.126324000		
T	32.741033000	-117.126298000		
T	32.741036000	-117.126263000		
T	32.741037000	-117.126245000		
T	32.741038000	-117.126224000		
T	32.741038000	-117.126204000		
T	32.741037000	-117.126183000		
T	32.741033000	-117.126143000		
T	32.741033000	-117.126117000		
T	32.741035000	-117.126090000		
T	32.741034000	-117.126060000		
T	32.741033000	-117.126024000		
T	32.741033000	-117.125991000		
T	32.741030000	-117.125960000		
T	32.741026000	-117.125942000		
T	32.741031000	-117.125933000		
T	32.741033000	-117.125910000		
T	32.741032000	-117.125892000		
T	32.741033000	-117.125868000		
T	32.741034000	-117.125844000		
T	32.741034000	-117.125819000		
T	32.741036000	-117.125792000		
T	32.741036000	-117.125764000		
T	32.741034000	-117.125731000		
T	32.741032000	-117.125712000		
T	32.741032000	-117.125689000		
T	32.741033000	-117.125665000		
T	32.741034000	-117.125641000		
T	32.741033000	-117.125619000		
T	32.741031000	-117.125598000		
T	32.741024000	-117.125561000		
T	32.741018000	-117.125539000		
T	32.741018000	-117.125519000		
T	32.741020000	-117.125493000		
T	32.741022000	-117.125461000		
T	32.741021000	-117.125430000		
T	32.741020000	-117.125401000		
T	32.741019000	-117.125370000		
T	32.741018000	-117.125336000		
T	32.741018000	-117.125301000		
T	32.741016000	-117.125269000		
T	32.741016000	-117.125240000		
T	32.741017000	-117.125214000		
T	32.741019000	-117.125188000		
T	32.741021000	-117.125163000		
T	32.741021000	-117.125137000		
T	32.741019000	-117.125111000		
T	32.741014000	-117.125085000		
T	32.741012000	-117.125057000		
T	32.741012000	-117.125027000		
T	32.741014000	-117.124997000		
T	32.741019000	-117.124969000		
T	32.741030000	-117.124948000		
T	32.741054000	-117.124942000		
T	32.741080000	-117.124944000		
T	32.741102000	-117.124942000		
T	32.741119000	-117.124935000		
T	32.741133000	-117.124926000		
T	32.741152000	-117.124925000		
T	32.741173000	-117.124931000		
T	32.741189000	-117.124931000		
T	32.741213000	-117.124928000		
T	32.741240000	-117.124927000		
T	32.741264000	-117.124931000		
T	32.741288000	-117.124933000		
T	32.741315000	-117.124937000		
T	32.741341000	-117.124937000		
T	32.741367000	-117.124938000		
T	32.741391000	-117.124945000		
T	32.741411000	-117.124952000		
T	32.741433000	-117.124953000		
T	32.741456000	-117.124954000		
T	32.741483000	-117.124957000		
T	32.741511000	-117.124963000		
T	32.741541000	-117.124972000		
T	32.741575000	-117.124976000		
T	32.741607000	-117.124975000		
T	32.741636000	-117.124972000		
T	32.741661000	-117.124969000		
T	32.741683000	-117.124968000		
T	32.741703000	-117.124969000		
T	32.741723000	-117.124969000		
T	32.741746000	-117.124969000		
T	32.741772000	-117.124972000		
T	32.741798000	-117.124975000		
T	32.741821000	-117.124971000		
T	32.741845000	-117.124969000		
T	32.741868000	-117.124972000		
T	32.741881000	-117.124977000		
T	32.741859000	-117.124981000		
T	32.741879000	-117.124984000		
T	32.741906000	-117.124980000		
T	32.741935000	-117.124975000		
T	32.741967000	-117.124966000		
T	32.741997000	-117.124959000		
T	32.742025000	-117.124960000		
T	32.742050000	-117.124966000		
T	32.742074000	-117.124972000		
T	32.742098000	-117.124976000		
T	32.742120000	-117.124977000		
T	32.742129000	-117.124975000		
T	32.742111000	-117.124968000		
T	32.742094000	-117.124964000		
T	32.742116000	-117.124962000		
T	32.742140000	-117.124960000		
T	32.742166000	-117.124959000		
T	32.742193000	-117.124962000		
T	32.742220000	-117.124963000		
T	32.742244000	-117.124963000		
T	32.742266000	-117.124963000		
T	32.742287000	-117.124964000		
T	32.742310000	-117.124967000		
T	32.742333000	-117.124970000		
T	32.742360000	-117.124973000		
T	32.742388000	-117.124975000		
T	32.742414000	-117.124975000		
T	32.742440000	-117.124977000		
T	32.742465000	-117.124976000		
T	32.742490000	-117.124976000		
T	32.742512000	-117.124972000		
T	32.742531000	-117.124967000		
T	32.742550000	-117.124968000		
T	32.742574000	-117.124970000		
T	32.742598000	-117.124970000		
T	32.742624000	-117.124971000		
T	32.742650000	-117.124972000		
T	32.742677000	-117.124971000		
T	32.742705000	-117.124971000		
T	32.742733000	-117.124973000		
T	32.742762000	-117.124975000		
T	32.742790000	-117.124977000		
T	32.742816000	-117.124980000		
T	32.742836000	-117.124980000		
T	32.742859000	-117.124980000		
T	32.742883000	-117.124979000		
T	32.742906000	-117.124978000		
T	32.742928000	-117.124976000		
T	32.742952000	-117.124978000		
T	32.742975000	-117.124983000		
T	32.742997000	-117.124991000		
T	32.743020000	-117.124993000		
T	32.743045000	-117.124987000		
T	32.743070000	-117.124974000		
T	32.743094000	-117.124961000		
T	32.743110000	-117.124948000		
T	32.743135000	-117.124953000		
T	32.743154000	-117.124958000		
T	32.743176000	-117.124964000		
T	32.743208000	-117.124969000		
T	32.743241000	-117.124972000		
T	32.743274000	-117.124973000		
T	32.743306000	-117.124972000		
T	32.743335000	-117.124970000		
T	32.743361000	-117.124968000		
T	32.743386000	-117.124965000		
T	32.743404000	-117.124968000		
T	32.743424000	-117.124971000		
T	32.743447000	-117.124974000		
T	32.743472000	-117.124975000		
T	32.743495000	-117.124973000		
T	32.743517000	-117.124969000		
T	32.743542000	-117.124964000		
T	32.743563000	-117.124957000		
T	32.743576000	-117.124951000		
T	32.743591000	-117.124957000		
T	32.743613000	-117.124959000		
T	32.743643000	-117.124956000		
T	32.743673000	-117.124944000		
T	32.743704000	-117.124933000		
T	32.743735000	-117.124929000		
T	32.743763000	-117.124928000		
T	32.743791000	-117.124932000		
T	32.743818000	-117.124939000		
T	32.743845000	-117.124943000		
T	32.743869000	-117.124942000		
T	32.743893000	-117.124936000		
T	32.743918000	-117.124931000		
T	32.743943000	-117.124927000		
T	32.743969000	-117.124924000		
T	32.743995000	-117.124930000		
T	32.744021000	-117.124940000		
T	32.744049000	-117.124945000		
T	32.744080000	-117.124946000		
T	32.744109000	-117.124948000		
T	32.744152000	-117.124950000		
T	32.744177000	-117.124953000		
T	32.744203000	-117.124956000		
T	32.744233000	-117.124959000		
T	32.744261000	-117.124960000		
T	32.744287000	-117.124961000		
T	32.744310000	-117.124957000		
T	32.744331000	-117.124954000		
T	32.744354000	-117.124950000		
T	32.744376000	-117.124944000		
T	32.744399000	-117.124941000		
T	32.744423000	-117.124936000		
T	32.744449000	-117.124930000		
T	32.744473000	-117.124926000		
T	32.744498000	-117.124927000		
T	32.744526000	-117.124931000		
T	32.744555000	-117.124939000		
T	32.744587000	-117.124948000		
T	32.744614000	-117.124956000		
T	32.744636000	-117.124964000		
T	32.744648000	-117.124964000		
T	32.744667000	-117.124959000		
T	32.744691000	-117.124961000		
T	32.744720000	-117.124961000		
T	32.744751000	-117.124960000		
T	32.744782000	-117.124961000		
T	32.744811000	-117.124962000		
T	32.744834000	-117.124961000		
T	32.744855000	-117.124960000		
T	32.744874000	-117.124956000		
T	32.744889000	-117.124949000		
T	32.744903000	-117.124952000		
T	32.744919000	-117.124956000		
T	32.744939000	-117.124954000		
T	32.744962000	-117.124953000		
T	32.744983000	-117.124950000		
T	32.744995000	-117.124947000		
T	32.745005000	-117.124956000		
T	32.745029000	-117.124959000		
T	32.745057000	-117.124959000		
T	32.745089000	-117.124956000		
T	32.745121000	-117.124957000		
T	32.745152000	-117.124963000		
T	32.745178000	-117.124970000		
T	32.745202000	-117.124977000		
T	32.745224000	-117.124981000		
T	32.745246000	-117.124988000		
T	32.745267000	-117.124991000		
T	32.745288000	-117.124992000		
T	32.745307000	-117.124994000		
T	32.745330000	-117.124995000		
T	32.745356000	-117.124992000		
T	32.745382000	-117.124987000		
T	32.745405000	-117.124981000		
T	32.745425000	-117.124979000		
T	32.745445000	-117.124980000		
T	32.745462000	-117.124982000		
T	32.745477000	-117.124979000		
T	32.745495000	-117.124977000		
T	32.745516000	-117.124977000		
T	32.745542000	-117.124978000		
T	32.745577000	-117.124976000		
T	32.745592000	-117.124975000		
T	32.745627000	-117.124971000		
T	32.745659000	-117.124973000		
T	32.745691000	-117.124977000		
T	32.745722000	-117.124978000		
T	32.745744000	-117.124978000		
T	32.745765000	-117.124977000		
T	32.745786000	-117.124978000		
T	32.745809000	-117.124979000		
T	32.745833000	-117.124980000		
T	32.745860000	-117.124982000		
T	32.745887000	-117.124981000		
T	32.745915000	-117.124979000		
T	32.745941000	-117.124975000		
T	32.745970000	-117.124974000		
T	32.746002000	-117.124975000		
T	32.746035000	-117.124973000		
T	32.746063000	-117.124971000		
T	32.746088000	-117.124971000		
T	32.746115000	-117.124971000		
T	32.746141000	-117.124973000		
T	32.746166000	-117.124977000		
T	32.746188000	-117.124977000		
T	32.746207000	-117.124976000		
T	32.746227000	-117.124977000		
T	32.746249000	-117.124979000		
T	32.746271000	-117.124982000		
T	32.746292000	-117.124982000		
